PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00001120
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=0000018c, REG[ 2]=0000ff90
PC=00000190, ---
PC=00000194, ---
PC=00000198, ---
PC=0000019c, ---
PC=000001a0, ---
PC=000001a4, ---
PC=000001a8, ---
PC=000001ac, ---
PC=000001b0, ---
PC=000001b4, ---
PC=000001b8, ---
PC=000001bc, ---
PC=000001c0, ---
PC=000001c4, REG[ 8]=00010000
PC=000001c8, REG[ 5]=0000ff90
PC=000001cc, REG[ 9]=0000ff90
PC=000001d0, REG[ 5]=00001000
PC=000001d4, REG[ 5]=00000004
PC=000001d8, REG[ 1]=00000003
PC=000001dc, ---
PC=000001e0, REG[ 1]=00000004
PC=000001e4, REG[26]=00000004
PC=000001e8, REG[27]=00000000
PC=000001ec, REG[ 1]=00000000
PC=000001f0, REG[29]=00000000
PC=000001f4, REG[29]=00000000
PC=000001f8, REG[28]=00000080
PC=000001fc, REG[28]=00000004
PC=00000200, REG[24]=00000004
PC=00000204, REG[25]=00000000
PC=00000208, REG[28]=00000000
PC=0000020c, REG[ 7]=00000000
PC=00000210, REG[ 7]=00000000
PC=00000214, REG[ 6]=00000080
PC=00000218, REG[ 6]=00000004
PC=0000021c, REG[ 6]=00000010
PC=00000220, REG[ 6]=0000001f
PC=00000224, REG[ 6]=00000001
PC=00000228, REG[ 6]=00000010
PC=0000022c, REG[ 2]=0000ff80
PC=00000230, REG[ 6]=0000ff80
PC=00000234, REG[ 6]=0000ff83
PC=00000238, REG[ 6]=00003fe0
PC=0000023c, REG[ 6]=0000ff80
PC=00000240, ---
PC=00000244, REG[ 6]=00001000
PC=00000248, REG[ 6]=00000004
PC=0000024c, REG[28]=00000003
PC=00000250, ---
PC=00000254, REG[28]=00000004
PC=00000258, REG[22]=00000004
PC=0000025c, REG[23]=00000000
PC=00000260, REG[28]=00000000
PC=00000264, REG[17]=00000000
PC=00000268, REG[17]=00000000
PC=0000026c, REG[16]=00000080
PC=00000270, REG[16]=00000004
PC=00000274, REG[20]=00000004
PC=00000278, REG[21]=00000000
PC=0000027c, REG[16]=00000000
PC=00000280, REG[11]=00000000
PC=00000284, REG[11]=00000000
PC=00000288, REG[10]=00000080
PC=0000028c, REG[11]=00000004
PC=00000290, REG[11]=00000010
PC=00000294, REG[11]=0000001f
PC=00000298, REG[11]=00000001
PC=0000029c, REG[11]=00000010
PC=000002a0, REG[ 2]=0000ff70
PC=000002a4, REG[11]=0000ff70
PC=000002a8, REG[11]=0000ff73
PC=000002ac, REG[11]=00003fdc
PC=000002b0, REG[11]=0000ff70
PC=000002b4, ---
PC=000002b8, REG[11]=00001000
PC=000002bc, REG[11]=00000004
PC=000002c0, REG[10]=00000003
PC=000002c4, ---
PC=000002c8, REG[10]=00000004
PC=000002cc, REG[18]=00000004
PC=000002d0, REG[19]=00000000
PC=000002d4, REG[10]=00000000
PC=000002d8, REG[13]=00000000
PC=000002dc, REG[13]=00000000
PC=000002e0, REG[12]=00000080
PC=000002e4, REG[13]=00000004
PC=000002e8, REG[30]=00000004
PC=000002ec, REG[31]=00000000
PC=000002f0, REG[13]=00000000
PC=000002f4, REG[15]=00000000
PC=000002f8, REG[15]=00000000
PC=000002fc, REG[14]=00000080
PC=00000300, REG[15]=00000004
PC=00000304, REG[15]=00000010
PC=00000308, REG[15]=0000001f
PC=0000030c, REG[15]=00000001
PC=00000310, REG[15]=00000010
PC=00000314, REG[ 2]=0000ff60
PC=00000318, REG[15]=0000ff60
PC=0000031c, REG[15]=0000ff63
PC=00000320, REG[15]=00003fd8
PC=00000324, REG[15]=0000ff60
PC=00000328, ---
PC=0000032c, ---
PC=00000330, ---
PC=000003ac, REG[15]=00001000
PC=000003b0, REG[15]=00000004
PC=000003b4, REG[14]=00000000
PC=000003b8, ---
PC=00000334, REG[ 1]=00000334
PC=00000338, REG[ 1]=0000033c
PC=00000448, REG[15]=00001000
PC=0000044c, REG[16]=00000500
PC=00000450, REG[11]=4c958000
PC=00000454, REG[11]=4c957f2d
PC=00000458, REG[13]=00000001
PC=0000045c, REG[14]=00000000
PC=00000460, REG[15]=4c957f2d
PC=00000464, REG[12]=4c957f2e
PC=00000468, REG[15]=00000000
PC=0000046c, ---
PC=00000470, REG[12]=5851f000
PC=00000474, REG[12]=5851f42d
PC=00000478, REG[12]=5851f42d
PC=0000047c, REG[14]=00000000
PC=00000480, REG[13]=00000000
PC=00000484, REG[14]=5851f42d
PC=00000488, REG[14]=5851f42d
PC=0000048c, REG[15]=5851f42d
PC=00000490, REG[10]=b0a3e85a
PC=00000494, ---
PC=00000498, REG[10]=5851f42d
PC=0000049c, ---
PC=0000033c, REG[14]=5851f42d
PC=00000340, REG[15]=00010000
PC=00000344, REG[15]=0000ffff
PC=00000348, REG[14]=0000f42d
PC=0000034c, REG[13]=0000ff80
PC=00000350, REG[15]=00000000
PC=00000354, REG[15]=00000000
PC=00000358, REG[15]=0000ff80
PC=0000035c, ---
PC=00000360, REG[ 1]=00000360
PC=00000364, REG[ 1]=00000368
PC=00000448, REG[15]=00001000
PC=0000044c, REG[16]=00000500
PC=00000450, REG[11]=4c958000
PC=00000454, REG[11]=4c957f2d
PC=00000458, REG[13]=4c957f2e
PC=0000045c, REG[14]=5851f42d
PC=00000460, REG[15]=4e252d16
PC=00000464, REG[12]=4e252d17
PC=00000468, REG[15]=00000000
PC=0000046c, ---
PC=00000470, REG[12]=5851f000
PC=00000474, REG[12]=5851f42d
PC=00000478, REG[12]=010d3316
PC=0000047c, REG[14]=a8bb3ee9
PC=00000480, REG[13]=16e91ad0
PC=00000484, REG[14]=a9c871ff
PC=00000488, REG[14]=c0b18ccf
PC=0000048c, REG[15]=c0b18ccf
PC=00000490, REG[10]=8163199e
PC=00000494, ---
PC=00000498, REG[10]=40b18ccf
PC=0000049c, ---
PC=00000368, REG[14]=40b18ccf
