PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00000f80
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=000001cc, REG[ 2]=0000fe60
PC=000001d0, ---
PC=000001d4, ---
PC=000001d8, ---
PC=000001dc, ---
PC=000001e0, REG[ 8]=00010000
PC=000001e4, ---
PC=000001e8, ---
PC=0000024c, REG[14]=00000000
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=00000001
PC=000002b4, REG[14]=00000000
PC=000002b8, REG[15]=4c957f2d
PC=000002bc, REG[12]=4c957f2e
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=5851f42d
PC=000002d4, REG[14]=00000000
PC=000002d8, REG[13]=00000000
PC=000002dc, REG[14]=5851f42d
PC=000002e0, REG[14]=5851f42d
PC=000002e4, REG[15]=5851f42d
PC=000002e8, REG[10]=b0a3e85a
PC=000002ec, ---
PC=000002f0, REG[10]=5851f42d
PC=000002f4, ---
PC=000001f4, REG[15]=5851f42d
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=9e374487
PC=00000204, REG[19]=d3e212eb
PC=00000208, REG[18]=9e374487
PC=0000020c, REG[14]=2c340718
PC=00000210, REG[13]=00161a03
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=00161a03
PC=0000021c, REG[14]=00161a03
PC=00000220, REG[14]=58680c00
PC=00000224, REG[14]=5851f1fd
PC=00000228, REG[13]=00000230
PC=0000022c, REG[15]=00000000
PC=00000230, REG[15]=00000000
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=0000fff0
PC=0000023c, ---
PC=00000240, REG[15]=00000000
PC=00000244, REG[15]=00000001
PC=00000248, ---
PC=0000024c, REG[14]=00000001
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=4c957f2e
PC=000002b4, REG[14]=5851f42d
PC=000002b8, REG[15]=4e252d16
PC=000002bc, REG[12]=4e252d17
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=010d3316
PC=000002d4, REG[14]=a8bb3ee9
PC=000002d8, REG[13]=16e91ad0
PC=000002dc, REG[14]=a9c871ff
PC=000002e0, REG[14]=c0b18ccf
PC=000002e4, REG[15]=c0b18ccf
PC=000002e8, REG[10]=8163199e
PC=000002ec, ---
PC=000002f0, REG[10]=40b18ccf
PC=000002f4, ---
PC=000001f4, REG[15]=40b18ccf
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=685b1e6d
PC=00000204, REG[19]=dfaf51d0
PC=00000208, REG[18]=685b1e6d
PC=0000020c, REG[14]=2060de9f
PC=00000210, REG[13]=0010306f
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=0010306f
PC=0000021c, REG[14]=0010306f
PC=00000220, REG[14]=40c1bc00
PC=00000224, REG[14]=40b18b91
PC=00000228, REG[13]=0000013e
PC=0000022c, REG[15]=00000001
PC=00000230, REG[15]=00000004
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=0000fff4
PC=0000023c, ---
PC=00000240, REG[15]=00000001
PC=00000244, REG[15]=00000002
PC=00000248, ---
PC=0000024c, REG[14]=00000002
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=4e252d17
PC=000002b4, REG[14]=c0b18ccf
PC=000002b8, REG[15]=404a560b
PC=000002bc, REG[12]=404a560c
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=57c9d90b
PC=000002d4, REG[14]=5c8b7163
PC=000002d8, REG[13]=1760abd8
PC=000002dc, REG[14]=b4554a6e
PC=000002e0, REG[14]=cbb5f646
PC=000002e4, REG[15]=cbb5f646
PC=000002e8, REG[10]=976bec8c
PC=000002ec, ---
PC=000002f0, REG[10]=4bb5f646
PC=000002f4, ---
PC=000001f4, REG[15]=4bb5f646
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=5b9412d2
PC=00000204, REG[19]=da2e7dfa
PC=00000208, REG[18]=5b9412d2
PC=0000020c, REG[14]=25e47440
PC=00000210, REG[13]=0012f23a
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=0012f23a
PC=0000021c, REG[14]=0012f23a
PC=00000220, REG[14]=4bc8e800
PC=00000224, REG[14]=4bb5f5c6
PC=00000228, REG[13]=00000080
PC=0000022c, REG[15]=00000002
PC=00000230, REG[15]=00000008
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=0000fff8
PC=0000023c, ---
PC=00000240, REG[15]=00000002
PC=00000244, REG[15]=00000003
PC=00000248, ---
PC=0000024c, REG[14]=00000003
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
