PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00000f40
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00000478, REG[ 2]=0000f810
PC=0000047c, ---
PC=00000480, ---
PC=00000484, REG[ 8]=00010000
PC=00000488, REG[ 2]=0000f680
PC=0000048c, REG[15]=0000fb30
PC=00000490, REG[14]=000004b0
PC=00000494, REG[12]=000004b0
PC=00000498, REG[11]=00000000
PC=0000049c, REG[10]=0000fb30
PC=000004a0, REG[ 1]=000004a0
PC=000004a4, REG[ 1]=000004a8
PC=00000664, REG[ 6]=0000000f
PC=00000668, REG[14]=0000fb30
PC=0000066c, ---
PC=00000670, REG[15]=00000000
PC=00000674, ---
PC=00000678, ---
PC=0000067c, REG[13]=000004b0
PC=00000680, REG[12]=00000000
PC=00000684, REG[13]=0000ffe0
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fb40
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fb50
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fb60
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fb70
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fb80
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fb90
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fba0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fbb0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fbc0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fbd0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fbe0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fbf0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fc00
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fc10
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fc20
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fc30
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fc40
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fc50
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fc60
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fc70
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fc80
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fc90
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fca0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fcb0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fcc0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fcd0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fce0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fcf0
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fd00
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fd10
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fd20
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fd30
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fd40
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fd50
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fd60
PC=0000069c, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, ---
PC=00000698, REG[14]=0000fd70
PC=0000069c, ---
