PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00000ec0
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=000004d4, REG[ 2]=0000ff90
PC=000004d8, ---
PC=000004dc, ---
PC=000004e0, REG[ 8]=00010000
PC=000004e4, REG[15]=00000000
PC=000004e8, REG[14]=000006a0
PC=000004ec, REG[15]=0000ff94
PC=000004f0, REG[13]=000006a0
PC=000004f4, REG[14]=0000005c
PC=000004f8, REG[12]=0000005c
PC=000004fc, REG[11]=000006a0
PC=00000500, REG[10]=0000ff94
PC=00000504, REG[ 1]=00000504
PC=00000508, REG[ 1]=0000050c
PC=0000053c, REG[15]=0000f934
PC=00000540, REG[15]=00000000
PC=00000544, REG[17]=0000fff0
PC=00000548, ---
PC=0000054c, REG[15]=00000003
PC=00000550, ---
PC=00000554, REG[15]=00000000
PC=00000558, REG[14]=0000ff94
PC=0000055c, ---
PC=00000560, REG[12]=0000fff0
PC=00000564, REG[15]=0000ffd0
PC=00000568, ---
PC=00000600, REG[13]=0000000f
PC=00000604, REG[ 5]=00000020
PC=00000608, REG[31]=00000141
PC=0000060c, REG[30]=00000005
PC=00000610, REG[29]=00000004
PC=00000614, REG[28]=00000003
PC=00000618, REG[ 6]=00000002
PC=0000061c, REG[16]=0000004a
PC=00000620, ---
PC=00000624, REG[13]=00000009
PC=00000628, ---
PC=0000062c, ---
PC=00000630, ---
PC=00000634, ---
PC=00000638, ---
PC=0000063c, ---
PC=00000640, ---
PC=00000644, ---
PC=00000648, REG[14]=0000ffb8
PC=0000064c, REG[11]=000006c4
PC=00000650, ---
PC=00000600, REG[13]=0000034e
PC=00000604, REG[ 5]=00000004
PC=00000608, REG[31]=00000523
PC=0000060c, REG[30]=00000054
PC=00000610, REG[29]=00001994
PC=00000614, REG[28]=0000002f
PC=00000618, REG[ 6]=000017e1
PC=0000061c, REG[16]=00000001
PC=00000620, ---
PC=00000624, REG[13]=00000011
PC=00000628, ---
PC=0000062c, ---
PC=00000630, ---
PC=00000634, ---
PC=00000638, ---
PC=0000063c, ---
PC=00000640, ---
PC=00000644, ---
PC=00000648, REG[14]=0000ffdc
PC=0000064c, REG[11]=000006e8
PC=00000650, ---
PC=00000654, ---
PC=0000056c, ---
PC=00000570, REG[13]=000006e8
PC=00000574, REG[15]=0000ffdc
PC=00000578, REG[16]=000001e5
PC=0000057c, REG[15]=0000ffe0
PC=00000580, REG[13]=000006ec
PC=00000584, ---
PC=00000588, ---
PC=00000578, REG[16]=00000544
PC=0000057c, REG[15]=0000ffe4
PC=00000580, REG[13]=000006f0
PC=00000584, ---
PC=00000588, ---
PC=00000578, REG[16]=00000004
PC=0000057c, REG[15]=0000ffe8
PC=00000580, REG[13]=000006f4
PC=00000584, ---
PC=00000588, ---
PC=00000578, REG[16]=0000053d
PC=0000057c, REG[15]=0000ffec
PC=00000580, REG[13]=000006f8
PC=00000584, ---
PC=00000588, ---
PC=00000578, REG[16]=00000300
PC=0000057c, REG[15]=0000fff0
PC=00000580, REG[13]=000006fc
PC=00000584, ---
PC=00000588, ---
PC=0000058c, REG[15]=0000ffef
PC=00000590, REG[15]=00000013
PC=00000594, REG[15]=00000010
PC=00000598, REG[15]=00000014
PC=0000059c, REG[14]=0000fff0
PC=000005a0, REG[11]=000006fc
PC=000005a4, ---
PC=000005a8, ---
PC=0000050c, REG[15]=0000ff94
PC=00000510, REG[12]=00000017
PC=00000514, REG[11]=00000000
PC=00000518, REG[10]=0000ff94
PC=0000051c, REG[ 1]=0000051c
PC=00000520, REG[ 1]=00000524
PC=00000434, REG[ 2]=0000ff60
PC=00000438, ---
PC=0000043c, ---
PC=00000440, REG[ 8]=0000ff90
PC=00000444, ---
PC=00000448, ---
PC=0000044c, ---
PC=00000450, REG[14]=00000000
PC=00000454, REG[15]=00000017
PC=00000458, ---
PC=0000045c, REG[14]=00000017
PC=00000460, REG[15]=00000000
PC=00000464, REG[15]=00000017
PC=00000468, REG[15]=0000000b
PC=0000046c, REG[14]=00000000
PC=00000470, REG[15]=0000000b
PC=00000474, ---
PC=00000478, REG[12]=0000000b
PC=0000047c, REG[11]=00000000
PC=00000480, REG[10]=0000ff94
PC=00000484, REG[ 1]=00000484
PC=00000488, REG[ 1]=0000048c
PC=00000434, REG[ 2]=0000ff30
PC=00000438, ---
PC=0000043c, ---
PC=00000440, REG[ 8]=0000ff60
PC=00000444, ---
PC=00000448, ---
PC=0000044c, ---
PC=00000450, REG[14]=00000000
PC=00000454, REG[15]=0000000b
PC=00000458, ---
PC=0000045c, REG[14]=0000000b
PC=00000460, REG[15]=00000000
PC=00000464, REG[15]=0000000b
PC=00000468, REG[15]=00000005
PC=0000046c, REG[14]=00000000
PC=00000470, REG[15]=00000005
PC=00000474, ---
PC=00000478, REG[12]=00000005
PC=0000047c, REG[11]=00000000
PC=00000480, REG[10]=0000ff94
PC=00000484, REG[ 1]=00000484
PC=00000488, REG[ 1]=0000048c
PC=00000434, REG[ 2]=0000ff00
PC=00000438, ---
PC=0000043c, ---
PC=00000440, REG[ 8]=0000ff30
PC=00000444, ---
PC=00000448, ---
PC=0000044c, ---
PC=00000450, REG[14]=00000000
PC=00000454, REG[15]=00000005
PC=00000458, ---
PC=0000045c, REG[14]=00000005
PC=00000460, REG[15]=00000000
PC=00000464, REG[15]=00000005
PC=00000468, REG[15]=00000002
PC=0000046c, REG[14]=00000000
PC=00000470, REG[15]=00000002
PC=00000474, ---
PC=00000478, REG[12]=00000002
PC=0000047c, REG[11]=00000000
PC=00000480, REG[10]=0000ff94
PC=00000484, REG[ 1]=00000484
PC=00000488, REG[ 1]=0000048c
PC=00000434, REG[ 2]=0000fed0
PC=00000438, ---
PC=0000043c, ---
PC=00000440, REG[ 8]=0000ff00
PC=00000444, ---
PC=00000448, ---
PC=0000044c, ---
PC=00000450, REG[14]=00000000
PC=00000454, REG[15]=00000002
PC=00000458, ---
