PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00000940
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=000000dc, REG[ 2]=0000ffe0
PC=000000e0, ---
PC=000000e4, ---
PC=000000e8, REG[ 8]=00010000
PC=000000ec, REG[15]=00007000
PC=000000f0, REG[15]=0000716e
PC=000000f4, ---
PC=000000f8, REG[15]=0000716e
PC=000000fc, REG[15]=0000717a
PC=00000100, ---
PC=00000104, REG[15]=00000000
PC=00000108, REG[14]=0000717a
PC=0000010c, ---
PC=00000110, REG[10]=0000716e
PC=00000114, REG[ 1]=00000114
PC=00000118, REG[ 1]=0000011c
PC=000000b4, REG[ 2]=0000ffc0
PC=000000b8, ---
PC=000000bc, REG[ 8]=0000ffe0
PC=000000c0, ---
PC=000000c4, REG[15]=0000716e
PC=000000c8, REG[15]=ffff8e91
PC=000000cc, REG[10]=ffff8e91
PC=000000d0, REG[ 8]=00010000
PC=000000d4, REG[ 2]=0000ffe0
PC=000000d8, ---
PC=0000011c, ---
PC=00000120, REG[15]=00000000
PC=00000124, REG[10]=00000000
PC=00000128, REG[ 1]=000000a0
PC=0000012c, REG[ 8]=00010000
PC=00000130, REG[ 2]=00010000
PC=00000134, ---
PC=000000a0, REG[ 2]=000100a0
PC=000000a4, REG[ 2]=00010000
PC=000000a8, ---
PC=000000ac, ---
PC=000000b0, ---
