PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00001060
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=000006b0, REG[ 2]=0000ffe0
PC=000006b4, ---
PC=000006b8, ---
PC=000006bc, REG[ 8]=00010000
PC=000006c0, REG[11]=00000001
PC=000006c4, REG[10]=00000004
PC=000006c8, REG[ 1]=000006c8
PC=000006cc, REG[ 1]=000006d0
PC=000004d4, REG[ 2]=0000ffb0
PC=000004d8, ---
PC=000004dc, ---
PC=000004e0, REG[ 8]=0000ffe0
PC=000004e4, ---
PC=000004e8, ---
PC=000004ec, REG[10]=0000000c
PC=000004f0, REG[ 1]=000004f0
PC=000004f4, REG[ 1]=000004f8
PC=000002f0, REG[ 2]=0000ff80
PC=000002f4, ---
PC=000002f8, ---
PC=000002fc, REG[ 8]=0000ffb0
PC=00000300, ---
PC=00000304, REG[14]=0000000c
PC=00000308, REG[15]=00004000
PC=0000030c, ---
PC=00000318, REG[15]=0000000c
PC=0000031c, REG[15]=00000000
PC=00000320, ---
PC=00000334, REG[15]=0000000c
PC=00000338, REG[15]=00000014
PC=0000033c, ---
PC=00000340, REG[15]=00005000
PC=00000344, REG[15]=00000000
PC=00000348, ---
PC=0000034c, REG[15]=00000000
PC=00000350, ---
PC=00000354, REG[15]=00005000
PC=00000358, REG[15]=000048a0
PC=0000035c, ---
PC=00000360, REG[15]=00005000
PC=00000364, REG[14]=000048a0
PC=00000368, ---
PC=0000036c, REG[15]=00005000
PC=00000370, REG[14]=000048a0
PC=00000374, REG[15]=00005000
PC=00000378, REG[15]=000048a0
PC=0000037c, ---
PC=00000380, REG[15]=00005000
PC=00000384, REG[15]=000048a0
PC=00000388, ---
PC=0000038c, REG[15]=000048a0
PC=00000390, REG[15]=000048a0
PC=00000394, ---
PC=00000398, REG[15]=000048a0
PC=0000039c, REG[15]=00000000
PC=000003a0, REG[14]=0000000c
PC=000003a4, ---
PC=00000428, REG[15]=00005000
PC=0000042c, REG[15]=000048a0
PC=00000430, REG[14]=000048a0
PC=00000434, ---
PC=00000438, REG[10]=00000014
PC=0000043c, REG[ 1]=0000043c
PC=00000440, REG[ 1]=00000444
PC=00000244, REG[ 2]=0000ff50
PC=00000248, ---
PC=0000024c, ---
PC=00000250, REG[ 8]=0000ff80
PC=00000254, ---
PC=00000258, REG[15]=00001000
PC=0000025c, REG[15]=00004000
PC=00000260, REG[14]=00000014
PC=00000264, ---
PC=00000270, REG[15]=00001000
PC=00000274, REG[15]=000008a0
PC=00000278, ---
PC=0000027c, REG[15]=00001000
PC=00000280, REG[14]=000008a0
PC=00000284, REG[15]=00000014
PC=00000288, REG[14]=000008b4
PC=0000028c, REG[15]=00001000
PC=00000290, ---
PC=00000294, REG[15]=00001000
PC=00000298, REG[14]=00004000
PC=0000029c, REG[15]=00000014
PC=000002a0, REG[14]=00003fec
PC=000002a4, REG[15]=00001000
PC=000002a8, ---
PC=000002ac, REG[15]=00000014
PC=000002b0, REG[14]=0000000c
PC=000002b4, REG[15]=000008a0
PC=000002b8, ---
PC=000002bc, REG[15]=000008a0
PC=000002c0, REG[15]=000008a8
PC=000002c4, ---
PC=000002c8, REG[10]=000008a8
PC=000002cc, REG[ 1]=000002cc
PC=000002d0, REG[ 1]=000002d4
PC=000000b4, REG[ 2]=0000ff20
PC=000000b8, ---
PC=000000bc, ---
PC=000000c0, REG[ 8]=0000ff50
PC=000000c4, ---
PC=000000c8, REG[14]=000008a8
PC=000000cc, REG[15]=00001000
PC=000000d0, REG[15]=000008a0
PC=000000d4, ---
PC=000000d8, REG[15]=00005000
PC=000000dc, REG[15]=000048a0
PC=000000e0, REG[14]=000008a8
PC=000000e4, ---
PC=000000f4, REG[15]=000008a8
PC=000000f8, REG[15]=000008a0
PC=000000fc, ---
PC=00000100, REG[15]=00005000
PC=00000104, REG[15]=000048a0
PC=00000108, ---
PC=0000010c, ---
PC=00000148, REG[14]=000008a0
PC=0000014c, REG[15]=000048a0
PC=00000150, ---
PC=00000110, REG[15]=000048a0
PC=00000114, REG[15]=000048a0
PC=00000118, REG[14]=000048a0
PC=0000011c, ---
PC=00000120, REG[14]=000008a0
PC=00000124, REG[15]=000048a0
PC=00000128, ---
PC=0000012c, REG[15]=000048a0
PC=00000130, REG[15]=000048a0
PC=00000134, REG[14]=000008a0
PC=00000138, ---
PC=00000164, REG[15]=000008a0
PC=00000168, REG[15]=0000000c
PC=0000016c, REG[15]=00000060
PC=00000170, REG[14]=000008a0
PC=00000174, REG[14]=00000900
PC=00000178, REG[15]=000048a0
PC=0000017c, REG[15]=000048a0
PC=00000180, ---
PC=000001bc, REG[15]=000048a0
PC=000001c0, REG[14]=000048a0
PC=000001c4, REG[15]=000008a0
PC=000001c8, ---
PC=000001cc, REG[15]=000048a0
PC=000001d0, REG[15]=00000000
PC=000001d4, REG[15]=00000000
PC=000001d8, REG[14]=000048a0
PC=000001dc, REG[15]=000048a0
PC=000001e0, REG[14]=000008a0
PC=000001e4, ---
PC=00000218, REG[15]=000048a0
PC=0000021c, REG[14]=000008a0
PC=00000220, ---
PC=00000224, REG[15]=00005000
PC=00000228, REG[14]=000048a0
PC=0000022c, ---
PC=00000230, ---
PC=00000234, REG[ 1]=000002d4
PC=00000238, REG[ 8]=0000ff80
PC=0000023c, REG[ 2]=0000ff50
PC=00000240, ---
PC=000002d4, REG[15]=00005000
PC=000002d8, REG[15]=000048a0
PC=000002dc, REG[10]=000048a0
PC=000002e0, REG[ 1]=00000444
PC=000002e4, REG[ 8]=0000ffb0
PC=000002e8, REG[ 2]=0000ff80
PC=000002ec, ---
PC=00000444, ---
PC=00000448, REG[15]=000048a0
PC=0000044c, ---
PC=00000458, REG[15]=000048a0
PC=0000045c, ---
PC=00000460, REG[15]=000048a0
PC=00000464, REG[15]=000008a0
PC=00000468, ---
PC=0000046c, ---
PC=00000398, REG[15]=000008a0
PC=0000039c, REG[15]=0000000c
