PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00001020
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00000298, REG[ 2]=0000fe60
PC=0000029c, ---
PC=000002a0, ---
PC=000002a4, REG[ 8]=00010000
PC=000002a8, ---
PC=000002ac, ---
PC=000002e0, REG[14]=00000000
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=00000001
PC=00000344, REG[14]=00000000
PC=00000348, REG[15]=4c957f2d
PC=0000034c, REG[12]=4c957f2e
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=5851f42d
PC=00000364, REG[14]=00000000
PC=00000368, REG[13]=00000000
PC=0000036c, REG[14]=5851f42d
PC=00000370, REG[14]=5851f42d
PC=00000374, REG[15]=5851f42d
PC=00000378, REG[10]=b0a3e85a
PC=0000037c, ---
PC=00000380, REG[10]=5851f42d
PC=00000384, ---
PC=000002b8, REG[15]=5851f42d
PC=000002bc, REG[14]=0000002d
PC=000002c0, REG[15]=00000000
PC=000002c4, REG[15]=00000000
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=0000fff0
PC=000002d0, ---
PC=000002d4, REG[15]=00000000
PC=000002d8, REG[15]=00000001
PC=000002dc, ---
PC=000002e0, REG[14]=00000001
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=4c957f2e
PC=00000344, REG[14]=5851f42d
PC=00000348, REG[15]=4e252d16
PC=0000034c, REG[12]=4e252d17
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=010d3316
PC=00000364, REG[14]=a8bb3ee9
PC=00000368, REG[13]=16e91ad0
PC=0000036c, REG[14]=a9c871ff
PC=00000370, REG[14]=c0b18ccf
PC=00000374, REG[15]=c0b18ccf
PC=00000378, REG[10]=8163199e
PC=0000037c, ---
PC=00000380, REG[10]=40b18ccf
PC=00000384, ---
PC=000002b8, REG[15]=40b18ccf
PC=000002bc, REG[14]=000000cf
PC=000002c0, REG[15]=00000001
PC=000002c4, REG[15]=00000004
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=0000fff4
PC=000002d0, ---
PC=000002d4, REG[15]=00000001
PC=000002d8, REG[15]=00000002
PC=000002dc, ---
PC=000002e0, REG[14]=00000002
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=4e252d17
PC=00000344, REG[14]=c0b18ccf
PC=00000348, REG[15]=404a560b
PC=0000034c, REG[12]=404a560c
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=57c9d90b
PC=00000364, REG[14]=5c8b7163
PC=00000368, REG[13]=1760abd8
PC=0000036c, REG[14]=b4554a6e
PC=00000370, REG[14]=cbb5f646
PC=00000374, REG[15]=cbb5f646
PC=00000378, REG[10]=976bec8c
PC=0000037c, ---
PC=00000380, REG[10]=4bb5f646
PC=00000384, ---
PC=000002b8, REG[15]=4bb5f646
PC=000002bc, REG[14]=00000246
PC=000002c0, REG[15]=00000002
PC=000002c4, REG[15]=00000008
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=0000fff8
PC=000002d0, ---
PC=000002d4, REG[15]=00000002
PC=000002d8, REG[15]=00000003
PC=000002dc, ---
PC=000002e0, REG[14]=00000003
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=404a560c
PC=00000344, REG[14]=cbb5f646
PC=00000348, REG[15]=d2bd141c
PC=0000034c, REG[12]=d2bd141d
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=80e0901c
PC=00000364, REG[14]=32e7044e
PC=00000368, REG[13]=133b9cbf
PC=0000036c, REG[14]=b3c7946a
PC=00000370, REG[14]=c7033129
PC=00000374, REG[15]=c7033129
PC=00000378, REG[10]=8e066252
PC=0000037c, ---
PC=00000380, REG[10]=47033129
PC=00000384, ---
PC=000002b8, REG[15]=47033129
PC=000002bc, REG[14]=00000129
PC=000002c0, REG[15]=00000003
PC=000002c4, REG[15]=0000000c
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=0000fffc
PC=000002d0, ---
PC=000002d4, REG[15]=00000003
PC=000002d8, REG[15]=00000004
PC=000002dc, ---
PC=000002e0, REG[14]=00000004
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=d2bd141d
PC=00000344, REG[14]=c7033129
PC=00000348, REG[15]=2917ec19
