PC=00000000, REG[30]=00000000
PC=00000004, REG[31]=00000000
PC=00000008, REG[ 1]=00000000
PC=0000000c, REG[ 2]=00000001
PC=00000010, REG[21]=00000001
PC=00000014, REG[30]=00000001
PC=00000018, ---
PC=00000310, REG[21]=00000001
PC=00000314, REG[30]=00000001
PC=00000318, ---
PC=0000031c, ---
PC=00000028, REG[21]=00000000
PC=0000002c, REG[30]=00000001
PC=00000030, ---
PC=00000328, REG[21]=00000002
PC=0000032c, REG[30]=00000003
PC=00000330, ---
PC=00000334, ---
PC=00000040, REG[21]=00000004
PC=00000044, REG[30]=00000007
PC=00000048, ---
PC=00000340, REG[21]=00000004
PC=00000344, REG[30]=00000007
PC=00000348, ---
PC=0000034c, ---
PC=00000058, REG[21]=00000008
PC=0000005c, REG[30]=0000000f
PC=00000060, ---
PC=00000358, REG[21]=00000008
PC=0000035c, REG[30]=0000000f
PC=00000360, ---
PC=00000364, ---
PC=00000070, REG[21]=00000000
PC=00000074, REG[30]=0000000f
PC=00000078, ---
PC=00000370, REG[21]=00000000
PC=00000374, REG[30]=0000000f
PC=00000378, ---
PC=0000037c, ---
PC=00000088, REG[21]=00000020
PC=0000008c, REG[30]=0000002f
PC=00000090, ---
PC=00000388, REG[21]=00000020
PC=0000038c, REG[30]=0000002f
PC=00000390, ---
PC=00000394, ---
PC=000000a0, REG[21]=00000000
PC=000000a4, REG[30]=0000002f
PC=000000a8, ---
PC=000003a0, REG[21]=00000040
PC=000003a4, REG[30]=0000006f
PC=000003a8, ---
PC=000003ac, ---
PC=000000b8, REG[21]=00000080
PC=000000bc, REG[30]=000000ef
PC=000000c0, ---
PC=000003b8, REG[21]=00000080
PC=000003bc, REG[30]=000000ef
PC=000003c0, ---
PC=000003c4, ---
PC=000000d0, REG[21]=00000000
PC=000000d4, REG[30]=000000ef
PC=000000d8, ---
PC=000003d0, REG[21]=00000000
PC=000003d4, REG[30]=000000ef
PC=000003d8, ---
PC=000003dc, ---
PC=000000e8, REG[21]=00000200
PC=000000ec, REG[30]=000002ef
PC=000000f0, ---
PC=000003e8, REG[21]=00000200
PC=000003ec, REG[30]=000002ef
PC=000003f0, ---
PC=000003f4, ---
PC=00000100, REG[21]=00000000
PC=00000104, REG[30]=000002ef
PC=00000108, ---
PC=00000400, REG[21]=00000400
PC=00000404, REG[30]=000006ef
PC=00000408, ---
PC=0000040c, ---
PC=00000118, REG[21]=00000800
PC=0000011c, REG[30]=00000eef
PC=00000120, ---
PC=00000418, REG[21]=00000800
PC=0000041c, REG[30]=00000eef
PC=00000420, ---
PC=00000424, ---
PC=00000130, REG[21]=00001000
PC=00000134, REG[30]=00001eef
PC=00000138, ---
PC=00000430, REG[21]=00001000
PC=00000434, REG[30]=00001eef
PC=00000438, ---
PC=0000043c, ---
PC=00000148, REG[21]=00002000
PC=0000014c, REG[30]=00003eef
PC=00000150, ---
PC=00000448, REG[21]=00002000
PC=0000044c, REG[30]=00003eef
PC=00000450, ---
PC=00000454, ---
PC=00000160, REG[21]=00000000
PC=00000164, REG[30]=00003eef
PC=00000168, ---
PC=00000460, REG[21]=00000000
PC=00000464, REG[30]=00003eef
PC=00000468, ---
PC=0000046c, ---
PC=00000178, REG[21]=00008000
PC=0000017c, REG[30]=0000beef
PC=00000180, ---
PC=00000478, REG[21]=00008000
PC=0000047c, REG[30]=0000beef
PC=00000480, ---
PC=00000484, ---
PC=00000190, REG[21]=00010000
PC=00000194, REG[30]=0001beef
PC=00000198, ---
PC=00000490, REG[21]=00010000
PC=00000494, REG[30]=0001beef
PC=00000498, ---
PC=0000049c, ---
PC=000001a8, REG[21]=00000000
PC=000001ac, REG[30]=0001beef
PC=000001b0, ---
PC=000004a8, REG[21]=00020000
PC=000004ac, REG[30]=0003beef
PC=000004b0, ---
PC=000004b4, ---
PC=000001c0, REG[21]=00040000
PC=000001c4, REG[30]=0007beef
PC=000001c8, ---
PC=000004c0, REG[21]=00040000
PC=000004c4, REG[30]=0007beef
PC=000004c8, ---
PC=000004cc, ---
PC=000001d8, REG[21]=00080000
PC=000001dc, REG[30]=000fbeef
PC=000001e0, ---
PC=000004d8, REG[21]=00080000
PC=000004dc, REG[30]=000fbeef
PC=000004e0, ---
PC=000004e4, ---
PC=000001f0, REG[21]=00000000
PC=000001f4, REG[30]=000fbeef
PC=000001f8, ---
PC=000004f0, REG[21]=00000000
PC=000004f4, REG[30]=000fbeef
PC=000004f8, ---
PC=000004fc, ---
PC=00000208, REG[21]=00200000
PC=0000020c, REG[30]=002fbeef
PC=00000210, ---
PC=00000508, REG[21]=00200000
PC=0000050c, REG[30]=002fbeef
PC=00000510, ---
PC=00000514, ---
PC=00000220, REG[21]=00000000
PC=00000224, REG[30]=002fbeef
PC=00000228, ---
PC=00000520, REG[21]=00400000
PC=00000524, REG[30]=006fbeef
PC=00000528, ---
PC=0000052c, ---
PC=00000238, REG[21]=00800000
PC=0000023c, REG[30]=00efbeef
PC=00000240, ---
PC=00000538, REG[21]=00800000
PC=0000053c, REG[30]=00efbeef
PC=00000540, ---
PC=00000544, ---
PC=00000250, REG[21]=00000000
PC=00000254, REG[30]=00efbeef
PC=00000258, ---
PC=00000550, REG[21]=00000000
PC=00000554, REG[30]=00efbeef
PC=00000558, ---
PC=0000055c, ---
PC=00000268, REG[21]=02000000
PC=0000026c, REG[30]=02efbeef
PC=00000270, ---
PC=00000568, REG[21]=02000000
PC=0000056c, REG[30]=02efbeef
PC=00000570, ---
PC=00000574, ---
PC=00000280, REG[21]=00000000
PC=00000284, REG[30]=02efbeef
PC=00000288, ---
PC=00000580, REG[21]=04000000
PC=00000584, REG[30]=06efbeef
PC=00000588, ---
PC=0000058c, ---
PC=00000298, REG[21]=08000000
PC=0000029c, REG[30]=0eefbeef
PC=000002a0, ---
PC=00000598, REG[21]=08000000
PC=0000059c, REG[30]=0eefbeef
PC=000005a0, ---
PC=000005a4, ---
PC=000002b0, REG[21]=10000000
PC=000002b4, REG[30]=1eefbeef
PC=000002b8, ---
PC=000005b0, REG[21]=10000000
PC=000005b4, REG[30]=1eefbeef
