PC=00000000, REG[ 6]=00000000
PC=00000004, REG[ 2]=00001000
PC=00000008, REG[31]=0000000a
PC=0000000c, REG[ 3]=00000000
PC=00000010, ---
PC=00000014, REG[ 4]=00000000
PC=00000018, ---
PC=0000001c, REG[ 2]=00001008
PC=00000020, REG[ 6]=00000001
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=0000000a
PC=00000010, ---
PC=00000014, REG[ 4]=0000000a
PC=00000018, ---
PC=0000001c, REG[ 2]=00001010
PC=00000020, REG[ 6]=00000002
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=00000014
PC=00000010, ---
PC=00000014, REG[ 4]=00000014
PC=00000018, ---
PC=0000001c, REG[ 2]=00001018
PC=00000020, REG[ 6]=00000003
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=0000001e
PC=00000010, ---
PC=00000014, REG[ 4]=0000001e
PC=00000018, ---
PC=0000001c, REG[ 2]=00001020
PC=00000020, REG[ 6]=00000004
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=00000028
PC=00000010, ---
PC=00000014, REG[ 4]=00000028
PC=00000018, ---
PC=0000001c, REG[ 2]=00001028
PC=00000020, REG[ 6]=00000005
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=00000032
PC=00000010, ---
PC=00000014, REG[ 4]=00000032
PC=00000018, ---
PC=0000001c, REG[ 2]=00001030
PC=00000020, REG[ 6]=00000006
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=0000003c
PC=00000010, ---
PC=00000014, REG[ 4]=0000003c
PC=00000018, ---
PC=0000001c, REG[ 2]=00001038
PC=00000020, REG[ 6]=00000007
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=00000046
PC=00000010, ---
PC=00000014, REG[ 4]=00000046
PC=00000018, ---
PC=0000001c, REG[ 2]=00001040
PC=00000020, REG[ 6]=00000008
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=00000050
PC=00000010, ---
PC=00000014, REG[ 4]=00000050
PC=00000018, ---
PC=0000001c, REG[ 2]=00001048
PC=00000020, REG[ 6]=00000009
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=0000005a
PC=00000010, ---
PC=00000014, REG[ 4]=0000005a
PC=00000018, ---
PC=0000001c, REG[ 2]=00001050
PC=00000020, REG[ 6]=0000000a
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=00000064
PC=00000010, ---
PC=00000014, REG[ 4]=00000064
PC=00000018, ---
PC=0000001c, REG[ 2]=00001058
PC=00000020, REG[ 6]=0000000b
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=0000006e
PC=00000010, ---
PC=00000014, REG[ 4]=0000006e
PC=00000018, ---
PC=0000001c, REG[ 2]=00001060
PC=00000020, REG[ 6]=0000000c
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=00000078
PC=00000010, ---
PC=00000014, REG[ 4]=00000078
PC=00000018, ---
PC=0000001c, REG[ 2]=00001068
PC=00000020, REG[ 6]=0000000d
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=00000082
PC=00000010, ---
PC=00000014, REG[ 4]=00000082
PC=00000018, ---
PC=0000001c, REG[ 2]=00001070
PC=00000020, REG[ 6]=0000000e
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=0000008c
PC=00000010, ---
PC=00000014, REG[ 4]=0000008c
PC=00000018, ---
PC=0000001c, REG[ 2]=00001078
PC=00000020, REG[ 6]=0000000f
PC=00000024, REG[ 5]=00000001
PC=00000028, ---
PC=0000000c, REG[ 3]=00000096
PC=00000010, ---
PC=00000014, REG[ 4]=00000096
PC=00000018, ---
PC=0000001c, REG[ 2]=00001080
PC=00000020, REG[ 6]=00000010
PC=00000024, REG[ 5]=00000000
PC=00000028, ---
PC=0000002c, ---
