PC=00000000, REG[ 6]=00000000
PC=00000004, ---
PC=00000008, ---
PC=0000000c, ---
PC=00000010, ---
PC=00000014, REG[ 2]=00001000
PC=00000018, ---
PC=0000001c, ---
PC=00000020, ---
PC=00000024, ---
PC=00000028, REG[31]=0000000a
PC=0000002c, REG[ 3]=00000000
PC=00000030, ---
PC=00000034, ---
PC=00000038, ---
PC=0000003c, ---
PC=00000040, ---
PC=00000044, ---
PC=00000048, ---
PC=0000004c, ---
PC=00000050, ---
PC=00000054, REG[ 4]=00000000
PC=00000058, ---
PC=0000005c, ---
PC=00000060, ---
PC=00000064, ---
PC=00000068, ---
PC=0000006c, ---
PC=00000070, ---
PC=00000074, ---
PC=00000078, ---
PC=0000007c, REG[ 2]=00001008
PC=00000080, ---
PC=00000084, ---
PC=00000088, ---
PC=0000008c, ---
PC=00000090, REG[ 6]=00000001
PC=00000094, ---
PC=00000098, ---
PC=0000009c, ---
PC=000000a0, ---
PC=000000a4, REG[ 5]=00000001
PC=000000a8, ---
PC=000000ac, ---
PC=000000b0, ---
PC=000000b4, ---
PC=000000b8, ---
PC=0000002c, REG[ 3]=0000000a
PC=00000030, ---
PC=00000034, ---
PC=00000038, ---
PC=0000003c, ---
PC=00000040, ---
PC=00000044, ---
PC=00000048, ---
PC=0000004c, ---
PC=00000050, ---
PC=00000054, REG[ 4]=0000000a
PC=00000058, ---
PC=0000005c, ---
PC=00000060, ---
PC=00000064, ---
PC=00000068, ---
PC=0000006c, ---
PC=00000070, ---
PC=00000074, ---
PC=00000078, ---
PC=0000007c, REG[ 2]=00001010
PC=00000080, ---
PC=00000084, ---
PC=00000088, ---
PC=0000008c, ---
PC=00000090, REG[ 6]=00000002
PC=00000094, ---
PC=00000098, ---
PC=0000009c, ---
PC=000000a0, ---
PC=000000a4, REG[ 5]=00000001
PC=000000a8, ---
PC=000000ac, ---
PC=000000b0, ---
PC=000000b4, ---
PC=000000b8, ---
PC=0000002c, REG[ 3]=00000014
PC=00000030, ---
PC=00000034, ---
PC=00000038, ---
PC=0000003c, ---
PC=00000040, ---
PC=00000044, ---
PC=00000048, ---
PC=0000004c, ---
PC=00000050, ---
PC=00000054, REG[ 4]=00000014
PC=00000058, ---
PC=0000005c, ---
PC=00000060, ---
PC=00000064, ---
PC=00000068, ---
PC=0000006c, ---
PC=00000070, ---
PC=00000074, ---
PC=00000078, ---
PC=0000007c, REG[ 2]=00001018
PC=00000080, ---
PC=00000084, ---
PC=00000088, ---
PC=0000008c, ---
PC=00000090, REG[ 6]=00000003
PC=00000094, ---
PC=00000098, ---
PC=0000009c, ---
PC=000000a0, ---
PC=000000a4, REG[ 5]=00000001
PC=000000a8, ---
PC=000000ac, ---
PC=000000b0, ---
PC=000000b4, ---
PC=000000b8, ---
PC=0000002c, REG[ 3]=0000001e
PC=00000030, ---
PC=00000034, ---
PC=00000038, ---
PC=0000003c, ---
PC=00000040, ---
PC=00000044, ---
PC=00000048, ---
PC=0000004c, ---
PC=00000050, ---
PC=00000054, REG[ 4]=0000001e
PC=00000058, ---
PC=0000005c, ---
