PC=00000000, REG[ 3]=00000000
PC=00000004, REG[ 4]=00001000
PC=00000008, REG[31]=00000000
PC=0000000c, ---
PC=00000010, ---
PC=00000014, REG[ 4]=00001008
PC=00000018, REG[ 3]=00000001
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000001
PC=0000000c, ---
PC=00000018, REG[ 3]=00000002
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000000
PC=0000000c, ---
PC=00000010, ---
PC=00000014, REG[ 4]=00001010
PC=00000018, REG[ 3]=00000003
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000001
PC=0000000c, ---
PC=00000018, REG[ 3]=00000004
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000000
PC=0000000c, ---
PC=00000010, ---
PC=00000014, REG[ 4]=00001018
PC=00000018, REG[ 3]=00000005
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000001
PC=0000000c, ---
PC=00000018, REG[ 3]=00000006
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000000
PC=0000000c, ---
PC=00000010, ---
PC=00000014, REG[ 4]=00001020
PC=00000018, REG[ 3]=00000007
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000001
PC=0000000c, ---
PC=00000018, REG[ 3]=00000008
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000000
PC=0000000c, ---
PC=00000010, ---
PC=00000014, REG[ 4]=00001028
PC=00000018, REG[ 3]=00000009
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000001
PC=0000000c, ---
PC=00000018, REG[ 3]=0000000a
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000000
PC=0000000c, ---
PC=00000010, ---
PC=00000014, REG[ 4]=00001030
PC=00000018, REG[ 3]=0000000b
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000001
PC=0000000c, ---
PC=00000018, REG[ 3]=0000000c
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000000
PC=0000000c, ---
PC=00000010, ---
PC=00000014, REG[ 4]=00001038
PC=00000018, REG[ 3]=0000000d
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000001
PC=0000000c, ---
PC=00000018, REG[ 3]=0000000e
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000000
PC=0000000c, ---
PC=00000010, ---
PC=00000014, REG[ 4]=00001040
PC=00000018, REG[ 3]=0000000f
PC=0000001c, REG[ 2]=00000001
PC=00000020, ---
PC=00000008, REG[31]=00000001
PC=0000000c, ---
PC=00000018, REG[ 3]=00000010
PC=0000001c, REG[ 2]=00000000
PC=00000020, ---
PC=00000024, ---
