PC=00000000, REG[ 3]=00000000
PC=00000004, ---
PC=00000008, ---
PC=0000000c, ---
PC=00000010, REG[31]=00000000
PC=00000014, ---
PC=00000018, REG[ 4]=00001000
PC=0000001c, ---
PC=00000020, ---
PC=00000024, ---
PC=00000028, ---
PC=0000002c, ---
PC=00000030, ---
PC=00000034, ---
PC=00000038, ---
PC=0000003c, ---
PC=00000040, ---
PC=00000044, ---
PC=00000048, ---
PC=0000004c, ---
PC=00000050, ---
PC=00000054, REG[ 4]=00001008
PC=00000058, ---
PC=0000005c, ---
PC=00000060, ---
PC=00000064, ---
PC=00000068, REG[ 3]=00000001
PC=0000006c, ---
PC=00000070, ---
PC=00000074, ---
PC=00000078, ---
PC=0000007c, REG[ 2]=00000001
PC=00000080, ---
PC=00000084, ---
PC=00000088, REG[31]=00000001
PC=0000008c, ---
PC=00000090, ---
PC=00000094, ---
PC=0000002c, ---
PC=00000068, REG[ 3]=00000002
PC=0000006c, ---
PC=00000070, ---
PC=00000074, ---
PC=00000078, ---
PC=0000007c, REG[ 2]=00000001
PC=00000080, ---
PC=00000084, ---
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00000090, ---
PC=00000094, ---
PC=0000002c, ---
PC=00000030, ---
PC=00000034, ---
PC=00000038, ---
PC=0000003c, ---
PC=00000040, ---
PC=00000044, ---
PC=00000048, ---
PC=0000004c, ---
PC=00000050, ---
PC=00000054, REG[ 4]=00001010
PC=00000058, ---
PC=0000005c, ---
PC=00000060, ---
PC=00000064, ---
PC=00000068, REG[ 3]=00000003
PC=0000006c, ---
PC=00000070, ---
PC=00000074, ---
PC=00000078, ---
PC=0000007c, REG[ 2]=00000001
PC=00000080, ---
PC=00000084, ---
PC=00000088, REG[31]=00000001
PC=0000008c, ---
PC=00000090, ---
PC=00000094, ---
PC=0000002c, ---
PC=00000068, REG[ 3]=00000004
PC=0000006c, ---
PC=00000070, ---
PC=00000074, ---
PC=00000078, ---
PC=0000007c, REG[ 2]=00000001
PC=00000080, ---
PC=00000084, ---
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00000090, ---
PC=00000094, ---
PC=0000002c, ---
PC=00000030, ---
PC=00000034, ---
PC=00000038, ---
PC=0000003c, ---
PC=00000040, ---
PC=00000044, ---
PC=00000048, ---
PC=0000004c, ---
PC=00000050, ---
PC=00000054, REG[ 4]=00001018
PC=00000058, ---
PC=0000005c, ---
PC=00000060, ---
PC=00000064, ---
PC=00000068, REG[ 3]=00000005
PC=0000006c, ---
PC=00000070, ---
PC=00000074, ---
PC=00000078, ---
PC=0000007c, REG[ 2]=00000001
PC=00000080, ---
PC=00000084, ---
PC=00000088, REG[31]=00000001
PC=0000008c, ---
PC=00000090, ---
PC=00000094, ---
PC=0000002c, ---
PC=00000068, REG[ 3]=00000006
PC=0000006c, ---
PC=00000070, ---
PC=00000074, ---
PC=00000078, ---
PC=0000007c, REG[ 2]=00000001
PC=00000080, ---
PC=00000084, ---
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00000090, ---
PC=00000094, ---
PC=0000002c, ---
