PC=00000000, REG[ 4]=00001000
PC=00000004, ---
PC=00000008, ---
PC=0000000c, ---
PC=00000010, ---
PC=00000014, REG[ 5]=00001000
PC=00000018, ---
PC=0000001c, ---
PC=00000020, ---
PC=00000024, ---
PC=00000028, REG[ 5]=00001008
PC=0000002c, ---
PC=00000030, ---
PC=00000034, ---
PC=00000038, ---
PC=0000003c, REG[ 6]=00001000
PC=00000040, ---
PC=00000044, ---
PC=00000048, ---
PC=0000004c, ---
PC=00000050, REG[ 6]=00001010
PC=00000054, ---
PC=00000058, ---
PC=0000005c, ---
PC=00000060, ---
PC=00000064, REG[10]=00000002
PC=00000068, ---
PC=0000006c, ---
PC=00000070, ---
PC=00000074, ---
PC=00000078, REG[ 2]=00000001
PC=0000007c, ---
PC=00000080, ---
PC=00000084, ---
PC=00000088, ---
PC=0000008c, ---
PC=00000090, ---
PC=00000094, ---
PC=00000098, ---
PC=0000009c, ---
PC=000000a0, ---
PC=000000a4, ---
PC=000000a8, ---
PC=000000ac, ---
PC=000000b0, ---
PC=000000b4, REG[ 2]=00000001
PC=000000b8, ---
PC=000000bc, ---
PC=000000c0, ---
PC=000000c4, ---
PC=000000c8, REG[ 3]=00000001
PC=000000cc, ---
PC=000000d0, ---
PC=000000d4, ---
PC=000000d8, ---
PC=000000dc, REG[ 3]=00000002
PC=000000e0, ---
PC=000000e4, ---
PC=000000e8, ---
PC=000000ec, ---
PC=000000f0, REG[ 4]=00001008
PC=000000f4, ---
PC=000000f8, ---
PC=000000fc, ---
PC=00000100, ---
PC=00000104, REG[ 5]=00001010
PC=00000108, ---
PC=0000010c, ---
PC=00000110, ---
PC=00000114, ---
PC=00000118, REG[10]=00000003
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=0000012c, REG[11]=00000001
PC=00000130, ---
PC=00000134, ---
PC=00000138, ---
PC=0000013c, ---
PC=00000140, ---
PC=00000144, REG[ 6]=00001018
PC=00000148, ---
PC=0000014c, ---
PC=00000150, ---
PC=00000154, ---
PC=00000158, ---
PC=000000b4, REG[ 2]=00000001
PC=000000b8, ---
PC=000000bc, ---
PC=000000c0, ---
PC=000000c4, ---
PC=000000c8, REG[ 3]=00000002
PC=000000cc, ---
PC=000000d0, ---
PC=000000d4, ---
PC=000000d8, ---
PC=000000dc, REG[ 3]=00000003
PC=000000e0, ---
PC=000000e4, ---
PC=000000e8, ---
PC=000000ec, ---
PC=000000f0, REG[ 4]=00001010
PC=000000f4, ---
PC=000000f8, ---
PC=000000fc, ---
PC=00000100, ---
PC=00000104, REG[ 5]=00001018
PC=00000108, ---
PC=0000010c, ---
PC=00000110, ---
PC=00000114, ---
PC=00000118, REG[10]=00000004
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=0000012c, REG[11]=00000001
PC=00000130, ---
PC=00000134, ---
PC=00000138, ---
PC=0000013c, ---
PC=00000140, ---
PC=00000144, REG[ 6]=00001020
PC=00000148, ---
PC=0000014c, ---
PC=00000150, ---
PC=00000154, ---
PC=00000158, ---
