PC=00000000, ---
PC=00000090, REG[ 6]=00000001
PC=00000094, REG[10]=00000010
PC=00000098, REG[ 4]=00000001
PC=0000009c, REG[ 7]=00000001
PC=000000a0, REG[20]=00000010
PC=000000a4, REG[19]=00000008
PC=000000a8, REG[15]=00000003
PC=000000ac, REG[16]=00000001
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000000
PC=000000c0, REG[20]=00000008
PC=000000c4, REG[ 7]=00000000
PC=000000c8, ---
PC=000000d0, ---
PC=000000d4, REG[10]=00000018
PC=000000d8, REG[ 6]=00000002
PC=000000dc, REG[11]=00000001
PC=000000e0, ---
PC=00000098, REG[ 4]=00000004
PC=0000009c, REG[ 7]=00000002
PC=000000a0, REG[20]=00000018
PC=000000a4, REG[19]=00000010
PC=000000a8, REG[15]=00000003
PC=000000ac, REG[16]=00000004
PC=000000b0, REG[12]=00000001
PC=000000b4, ---
PC=000000d0, ---
PC=000000d4, REG[10]=00000020
PC=000000d8, REG[ 6]=00000003
PC=000000dc, REG[11]=00000001
PC=000000e0, ---
PC=00000098, REG[ 4]=00000001
PC=0000009c, REG[ 7]=00000003
PC=000000a0, REG[20]=00000020
PC=000000a4, REG[19]=00000018
PC=000000a8, REG[15]=00000004
PC=000000ac, REG[16]=00000001
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000010
PC=000000c0, REG[20]=00000018
PC=000000c4, REG[ 7]=00000002
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000003
PC=000000ac, REG[16]=00000004
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000008
PC=000000c0, REG[20]=00000010
PC=000000c4, REG[ 7]=00000001
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000001
PC=000000ac, REG[16]=00000003
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000000
PC=000000c0, REG[20]=00000008
PC=000000c4, REG[ 7]=00000000
PC=000000c8, ---
PC=000000d0, ---
PC=000000d4, REG[10]=00000028
PC=000000d8, REG[ 6]=00000004
PC=000000dc, REG[11]=00000001
PC=000000e0, ---
PC=00000098, REG[ 4]=00000005
PC=0000009c, REG[ 7]=00000004
PC=000000a0, REG[20]=00000028
PC=000000a4, REG[19]=00000020
PC=000000a8, REG[15]=00000004
PC=000000ac, REG[16]=00000005
PC=000000b0, REG[12]=00000001
PC=000000b4, ---
PC=000000d0, ---
PC=000000d4, REG[10]=00000030
PC=000000d8, REG[ 6]=00000005
PC=000000dc, REG[11]=00000001
PC=000000e0, ---
PC=00000098, REG[ 4]=00000009
PC=0000009c, REG[ 7]=00000005
PC=000000a0, REG[20]=00000030
PC=000000a4, REG[19]=00000028
PC=000000a8, REG[15]=00000005
PC=000000ac, REG[16]=00000009
PC=000000b0, REG[12]=00000001
PC=000000b4, ---
PC=000000d0, ---
PC=000000d4, REG[10]=00000038
PC=000000d8, REG[ 6]=00000006
PC=000000dc, REG[11]=00000001
PC=000000e0, ---
PC=00000098, REG[ 4]=00000002
PC=0000009c, REG[ 7]=00000006
PC=000000a0, REG[20]=00000038
PC=000000a4, REG[19]=00000030
PC=000000a8, REG[15]=00000009
PC=000000ac, REG[16]=00000002
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000028
PC=000000c0, REG[20]=00000030
PC=000000c4, REG[ 7]=00000005
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000005
PC=000000ac, REG[16]=00000009
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000020
PC=000000c0, REG[20]=00000028
PC=000000c4, REG[ 7]=00000004
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000004
PC=000000ac, REG[16]=00000005
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000018
PC=000000c0, REG[20]=00000020
PC=000000c4, REG[ 7]=00000003
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000003
PC=000000ac, REG[16]=00000004
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000010
PC=000000c0, REG[20]=00000018
PC=000000c4, REG[ 7]=00000002
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000001
PC=000000ac, REG[16]=00000003
PC=000000b0, REG[12]=00000001
PC=000000b4, ---
PC=000000d0, ---
PC=000000d4, REG[10]=00000040
PC=000000d8, REG[ 6]=00000007
PC=000000dc, REG[11]=00000001
PC=000000e0, ---
PC=00000098, REG[ 4]=00000006
PC=0000009c, REG[ 7]=00000007
PC=000000a0, REG[20]=00000040
PC=000000a4, REG[19]=00000038
PC=000000a8, REG[15]=00000009
PC=000000ac, REG[16]=00000006
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000030
PC=000000c0, REG[20]=00000038
PC=000000c4, REG[ 7]=00000006
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000005
PC=000000ac, REG[16]=00000009
PC=000000b0, REG[12]=00000001
PC=000000b4, ---
PC=000000d0, ---
PC=000000d4, REG[10]=00000048
PC=000000d8, REG[ 6]=00000008
PC=000000dc, REG[11]=00000001
PC=000000e0, ---
PC=00000098, REG[ 4]=00000005
PC=0000009c, REG[ 7]=00000008
PC=000000a0, REG[20]=00000048
PC=000000a4, REG[19]=00000040
PC=000000a8, REG[15]=00000009
PC=000000ac, REG[16]=00000005
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000038
PC=000000c0, REG[20]=00000040
PC=000000c4, REG[ 7]=00000007
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000006
PC=000000ac, REG[16]=00000009
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000030
PC=000000c0, REG[20]=00000038
PC=000000c4, REG[ 7]=00000006
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000005
PC=000000ac, REG[16]=00000006
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000028
PC=000000c0, REG[20]=00000030
PC=000000c4, REG[ 7]=00000005
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000004
PC=000000ac, REG[16]=00000005
PC=000000b0, REG[12]=00000001
PC=000000b4, ---
PC=000000d0, ---
PC=000000d4, REG[10]=00000050
PC=000000d8, REG[ 6]=00000009
PC=000000dc, REG[11]=00000001
PC=000000e0, ---
PC=00000098, REG[ 4]=00000003
PC=0000009c, REG[ 7]=00000009
PC=000000a0, REG[20]=00000050
PC=000000a4, REG[19]=00000048
PC=000000a8, REG[15]=00000009
PC=000000ac, REG[16]=00000003
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000040
PC=000000c0, REG[20]=00000048
PC=000000c4, REG[ 7]=00000008
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000006
PC=000000ac, REG[16]=00000009
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000038
PC=000000c0, REG[20]=00000040
PC=000000c4, REG[ 7]=00000007
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000005
PC=000000ac, REG[16]=00000006
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000030
PC=000000c0, REG[20]=00000038
PC=000000c4, REG[ 7]=00000006
PC=000000c8, ---
PC=000000cc, ---
PC=000000a8, REG[15]=00000005
PC=000000ac, REG[16]=00000005
PC=000000b0, REG[12]=00000000
PC=000000b4, ---
PC=000000b8, ---
PC=000000bc, REG[19]=00000028
PC=000000c0, REG[20]=00000030
PC=000000c4, REG[ 7]=00000005
PC=000000c8, ---
PC=000000cc, ---
