PC=00000000, REG[ 2]=00000008
PC=00000004, REG[ 3]=00002000
PC=00000008, REG[ 3]=000027bb
PC=0000000c, REG[ 3]=27bb0000
PC=00000010, REG[ 1]=00003000
PC=00000014, REG[ 1]=00002ee6
PC=00000018, REG[ 3]=27bb2ee6
PC=0000001c, REG[ 1]=00001000
PC=00000020, REG[ 1]=0000087b
PC=00000024, REG[ 3]=b2ee6000
PC=00000028, REG[ 3]=b2ee687b
PC=0000002c, REG[ 1]=000000b0
PC=00000030, REG[ 3]=e687b000
PC=00000034, REG[ 3]=e687b0b0
PC=00000038, REG[ 1]=000000fd
PC=0000003c, REG[ 3]=87b0b000
PC=00000040, REG[ 3]=87b0b0fd
PC=00000044, REG[ 4]=00001000
PC=00000048, REG[ 4]=00000b50
PC=0000004c, REG[ 4]=00b50000
PC=00000050, REG[ 1]=000004f3
PC=00000054, REG[ 4]=00b504f3
PC=00000058, REG[ 1]=0000002d
PC=0000005c, REG[ 4]=0b504f30
PC=00000060, REG[ 4]=0b504f3d
PC=00000064, REG[ 5]=00000000
PC=00000068, REG[ 5]=00000001
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=3d8587e8
PC=00000074, REG[11]=48d5d725
PC=00000078, REG[12]=6baf0f91
PC=0000007c, REG[12]=76ff5ece
PC=00000080, REG[13]=fb2e5196
PC=00000084, REG[13]=067ea0d3
PC=00000088, REG[ 2]=4fc60087
PC=0000008c, REG[ 2]=5b164fc4
PC=00000090, REG[11]=000048d5
PC=00000094, REG[12]=000076ff
PC=00000098, REG[13]=0000067e
PC=0000009c, REG[14]=00005b16
PC=000000a0, REG[ 1]=0000003d
PC=000000a4, ---
PC=00000068, REG[ 5]=00000002
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=8ea394b4
PC=00000074, REG[11]=99f3e3f1
PC=00000078, REG[12]=9f6df52d
PC=0000007c, REG[12]=aabe446a
PC=00000080, REG[13]=7bf27cc2
PC=00000084, REG[13]=8742cbff
PC=00000088, REG[ 2]=5192eb03
PC=0000008c, REG[ 2]=5ce33a40
PC=00000090, REG[11]=000099f3
PC=00000094, REG[12]=0000aabe
PC=00000098, REG[13]=00008742
PC=0000009c, REG[14]=00005ce3
PC=000000a0, REG[ 1]=0000004d
PC=000000a4, ---
PC=00000068, REG[ 5]=00000003
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=d09c9140
PC=00000074, REG[11]=dbece07d
PC=00000078, REG[12]=745fcb89
PC=0000007c, REG[12]=7fb01ac6
PC=00000080, REG[13]=159295ae
PC=00000084, REG[13]=20e2e4eb
PC=00000088, REG[ 2]=cc2dcc3f
PC=0000008c, REG[ 2]=d77e1b7c
PC=00000090, REG[11]=0000dbec
PC=00000094, REG[12]=00007fb0
PC=00000098, REG[13]=000020e2
PC=0000009c, REG[14]=0000d77e
