PC=00000000, REG[17]=00000001
PC=00000004, REG[ 3]=00018000
PC=00000008, REG[ 3]=000186a0
PC=0000000c, REG[ 4]=00001000
PC=00000010, REG[ 6]=00030d40
PC=00000014, REG[ 9]=00030d40
PC=00000018, REG[ 8]=00030d40
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=00061a80
PC=00000024, REG[10]=00000009
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001008
PC=00000034, REG[17]=00000002
PC=00000038, REG[ 3]=00018a88
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=00031510
PC=00000014, REG[ 9]=00031510
PC=00000018, REG[ 8]=00031510
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=00062a20
PC=00000024, REG[10]=00000009
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001010
PC=00000034, REG[17]=00000003
PC=00000038, REG[ 3]=00018e70
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=00031ce0
PC=00000014, REG[ 9]=00031ce0
PC=00000018, REG[ 8]=00031ce0
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=000639c0
PC=00000024, REG[10]=00000009
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001018
PC=00000034, REG[17]=00000004
PC=00000038, REG[ 3]=00019258
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=000324b0
PC=00000014, REG[ 9]=000324b0
PC=00000018, REG[ 8]=000324b0
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=00064960
PC=00000024, REG[10]=00000009
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001020
PC=00000034, REG[17]=00000005
PC=00000038, REG[ 3]=00019640
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=00032c80
PC=00000014, REG[ 9]=00032c80
PC=00000018, REG[ 8]=00032c80
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=00065900
PC=00000024, REG[10]=0000000a
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001028
PC=00000034, REG[17]=00000006
PC=00000038, REG[ 3]=00019a28
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=00033450
PC=00000014, REG[ 9]=00033450
PC=00000018, REG[ 8]=00033450
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=000668a0
PC=00000024, REG[10]=0000000a
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001030
PC=00000034, REG[17]=00000007
PC=00000038, REG[ 3]=00019e10
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=00033c20
PC=00000014, REG[ 9]=00033c20
PC=00000018, REG[ 8]=00033c20
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=00067840
PC=00000024, REG[10]=0000000a
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001038
PC=00000034, REG[17]=00000008
PC=00000038, REG[ 3]=0001a1f8
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=000343f0
PC=00000014, REG[ 9]=000343f0
PC=00000018, REG[ 8]=000343f0
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=000687e0
PC=00000024, REG[10]=0000000a
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001040
PC=00000034, REG[17]=00000009
PC=00000038, REG[ 3]=0001a5e0
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=00034bc0
PC=00000014, REG[ 9]=00034bc0
PC=00000018, REG[ 8]=00034bc0
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=00069780
PC=00000024, REG[10]=0000000a
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001048
PC=00000034, REG[17]=0000000a
PC=00000038, REG[ 3]=0001a9c8
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=00035390
PC=00000014, REG[ 9]=00035390
PC=00000018, REG[ 8]=00035390
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=0006a720
PC=00000024, REG[10]=0000000b
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001050
PC=00000034, REG[17]=0000000b
PC=00000038, REG[ 3]=0001adb0
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=00035b60
PC=00000014, REG[ 9]=00035b60
PC=00000018, REG[ 8]=00035b60
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=0006b6c0
PC=00000024, REG[10]=0000000b
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001058
PC=00000034, REG[17]=0000000c
PC=00000038, REG[ 3]=0001b198
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=00036330
PC=00000014, REG[ 9]=00036330
PC=00000018, REG[ 8]=00036330
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=0006c660
PC=00000024, REG[10]=0000000b
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001060
PC=00000034, REG[17]=0000000d
PC=00000038, REG[ 3]=0001b580
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=00036b00
PC=00000014, REG[ 9]=00036b00
PC=00000018, REG[ 8]=00036b00
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=0006d600
PC=00000024, REG[10]=0000000b
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001068
PC=00000034, REG[17]=0000000e
PC=00000038, REG[ 3]=0001b968
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=000372d0
PC=00000014, REG[ 9]=000372d0
PC=00000018, REG[ 8]=000372d0
PC=0000001c, REG[ 5]=00000002
PC=00000020, REG[ 7]=0006e5a0
PC=00000024, REG[10]=0000000b
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001070
PC=00000034, REG[17]=0000000f
PC=00000038, REG[ 3]=0001bd50
PC=0000003c, REG[ 2]=00000001
PC=00000040, ---
PC=00000010, REG[ 6]=00037aa0
PC=00000014, REG[ 9]=00037aa0
PC=00000018, REG[ 8]=00037aa0
PC=0000001c, REG[ 5]=00000003
PC=00000020, REG[ 7]=000a6fe0
PC=00000024, REG[10]=0000000c
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001078
PC=00000034, REG[17]=00000010
PC=00000038, REG[ 3]=0001c138
PC=0000003c, REG[ 2]=00000000
PC=00000040, ---
PC=00000044, ---
