PC=00000000, ---
PC=00000004, REG[ 2]=00001000
PC=00000008, REG[ 2]=00000800
PC=0000000c, REG[ 5]=00000001
PC=00000010, REG[31]=00000000
PC=00000014, REG[ 6]=00000001
PC=00000018, REG[ 7]=00000002
PC=0000001c, ---
PC=00000030, REG[31]=00000001
PC=00000034, REG[ 6]=00000000
PC=00000038, REG[ 7]=00000000
PC=0000003c, ---
PC=00000040, REG[31]=00000002
PC=00000044, ---
PC=00000050, REG[31]=00000003
PC=00000054, REG[ 6]=00000001
PC=00000058, ---
PC=0000005c, ---
PC=00000060, ---
PC=00000078, REG[ 6]=fffff000
PC=0000007c, REG[ 5]=7ffff000
PC=00000080, ---
PC=0000008c, ---
PC=00000098, ---
PC=000000a4, ---
PC=000000b0, REG[ 1]=000000b4
PC=000000bc, REG[ 5]=00000000
PC=000000c0, REG[ 6]=000000c0
PC=000000c4, REG[ 6]=000000d0
PC=000000c8, REG[ 5]=000000cc
PC=000000d0, REG[ 6]=000000d0
PC=000000d4, REG[ 6]=000000cc
PC=000000d8, ---
PC=000000dc, REG[ 5]=00000001
PC=000000e0, REG[31]=00000000
PC=000000e4, REG[31]=fffff800
PC=000000e8, REG[ 6]=ffffffff
PC=000000ec, REG[ 7]=00000000
PC=000000f0, REG[ 7]=00000003
PC=000000f4, REG[ 7]=00000001
PC=000000f8, REG[28]=00000000
PC=000000fc, REG[28]=ffffffff
PC=00000100, ---
PC=00000104, REG[ 6]=fffff800
PC=00000108, ---
PC=0000010c, REG[29]=00000001
PC=00000110, REG[30]=00000000
PC=00000114, ---
PC=0000011c, REG[ 7]=00000001
PC=00000120, REG[ 7]=00001000
PC=00000124, REG[ 6]=00001000
PC=00000128, ---
PC=0000012c, REG[ 6]=fffff000
PC=00000130, REG[ 6]=00000001
PC=00000134, REG[ 7]=00000001
PC=00000138, ---
PC=0000013c, REG[ 6]=fffff000
PC=00000140, REG[ 6]=ffffffff
PC=00000144, REG[ 7]=fffff000
PC=00000148, REG[ 7]=ffffffff
PC=0000014c, ---
PC=00000150, REG[ 5]=00000002
PC=00000154, REG[ 6]=000000ff
PC=00000158, ---
PC=0000015c, REG[ 7]=ffffffff
PC=00000160, ---
PC=00000164, REG[ 7]=000000ff
PC=00000168, ---
PC=0000016c, REG[ 6]=ffffffff
PC=00000170, REG[ 6]=0000f000
PC=00000174, ---
PC=00000178, REG[ 7]=fffff000
PC=0000017c, ---
PC=00000180, REG[ 7]=0000f000
PC=00000184, ---
PC=00000188, REG[ 6]=ffffffff
PC=0000018c, REG[ 6]=7ffff000
PC=00000190, ---
PC=00000194, REG[ 7]=7ffff000
PC=00000198, ---
PC=0000019c, REG[ 5]=00000003
PC=000001a0, REG[ 6]=00000005
PC=000001a4, REG[ 7]=00000000
PC=000001a8, REG[ 7]=0000000a
PC=000001ac, REG[ 6]=0000000a
PC=000001b0, ---
PC=000001b4, REG[ 6]=00000003
PC=000001b8, REG[ 7]=00000004
PC=000001bc, REG[ 6]=00000007
PC=000001c0, REG[28]=00000007
PC=000001c4, ---
PC=000001c8, REG[ 6]=00000003
PC=000001cc, REG[ 6]=ffffffff
PC=000001d0, REG[ 7]=ffffffff
PC=000001d4, ---
PC=000001d8, REG[ 5]=00000004
PC=000001dc, REG[ 6]=0000000e
PC=000001e0, REG[ 7]=00000028
PC=000001e4, REG[28]=00000230
PC=000001e8, REG[29]=00000230
PC=000001ec, ---
PC=000001f0, REG[ 6]=7ff00000
PC=000001f4, REG[ 7]=55555000
PC=000001f8, REG[30]=2aa552ab
PC=000001fc, REG[29]=00000000
PC=00000200, REG[ 6]=fff00000
PC=00000204, REG[ 7]=f5555000
PC=00000208, REG[30]=0000aaab
PC=0000020c, REG[29]=00000000
PC=00000210, ---
